ARACAJU;BELEM;BELO HORIZONTE;BRASILIA
0;2079;1578;1652
2079;0;2824;2120
1578;2824;0;716
1650;2140;741;0

[ARACAJU;BELEM;BELO HORIZONTE;BRASILIA]

"0;2079;1578;1652"
str[0,2079,1578,1652]
